Id,SalePrice
1461,124859.53645411739
1462,163042.89723115205
1463,170981.9907000789
1464,185875.17342140106
1465,212827.8818611789
1466,177554.2324105522
1467,171243.90401372174
1468,168646.09228399582
1469,210233.2135325428
1470,103816.50582742784
1471,209013.0322834868
1472,114825.46169582964
1473,108656.00288731349
1474,157442.6798573914
1475,142218.34052746184
1476,326389.1183038396
1477,267831.43136277725
1478,290073.12193186
1479,283699.674466572
1480,403125.26598776993
1481,303152.48625491234
1482,230216.30275327154
1483,189312.8744077161
1484,189246.94022450037
1485,171079.83898028242
1486,208846.11893352144
1487,321154.78225159575
1488,270653.8033512444
1489,209904.64938233118
1490,208101.52501820447
1491,206411.19551056414
1492,99270.59741907497
1493,187399.92929804744
1494,284806.4240845442
1495,281552.6683831457
1496,225301.90469926316
1497,212556.52042975766
1498,170220.60562167782
1499,170575.40862636035
1500,156367.95748431352
1501,173386.288470919
1502,160541.14609534433
1503,272697.8292204144
1504,242043.37522389763
1505,228200.37949115364
1506,218403.96329286415
1507,256999.99089212716
1508,200806.56207011477
1509,172504.68861205387
1510,150681.63591914345
1511,149068.98415802862
1512,169404.68055856763
1513,162576.33214967465
1514,177319.69398839935
1515,218024.2856009123
1516,146556.90508585004
1517,162093.40094419173
1518,175457.68066830677
1519,231005.91750523308
1520,128610.13373040827
1521,135010.079925569
1522,183780.89581647445
1523,105928.64996872586
1524,110049.15133780241
1525,108837.95432102494
1526,110528.52707965998
1527,100382.39833406615
1528,147232.27877885895
1529,140715.07348215813
1530,186473.0183552252
1531,114438.97711124341
1532,77909.91932105785
1533,158781.19143196405
1534,142769.04901645822
1535,162756.94532011612
1536,118114.07829834451
1537,57646.49243967375
1538,178641.18000170402
1539,203767.26437919354
1540,138466.26159973908
1541,163524.68661168544
1542,162492.54791761073
1543,218341.05894228956
1544,55415.92183565372
1545,109392.43399730907
1546,130376.29750025226
1547,122808.35758306598
1548,139067.59125063918
1549,112120.53891889867
1550,127002.31556155207
1551,123777.21678757691
1552,143240.65165959485
1553,142008.33937994926
1554,128954.68823902356
1555,165157.25202
1556,91929.01830448024
1557,113826.46633065771
1558,96827.3656381336
1559,104008.82985822065
1560,125129.38057606225
1561,160426.6964580454
1562,127606.35817724303
1563,105764.96708986955
1564,175663.0149737734
1565,142150.45072585414
1566,231798.94370788825
1567,63380.21864427277
1568,209217.486679574
1569,117469.82975747553
1570,139753.45138461003
